id,category,user,assistant
209,comics,Why was Spider-Man different from many earlier superheroes?,"Spider-Man was presented as a teenager dealing with school, money, family and social problems while also being a superhero, rather than simply functioning as an adult hero's sidekick."
210,comics,Give me a concise explanation of the major live-action Spider-Man project in 2026.,"As of August 28, 2026, Sony lists Spider-Man: Brand New Day as a 2026 film starring Tom Holland, directed by Destin Daniel Cretton."
211,comics,Who directed Spider-Man: Brand New Day?,Spider-Man: Brand New Day is directed by Destin Daniel Cretton.
212,comics,What is Spider-Man's core comic-book theme?,Responsibility is one of Spider-Man's defining themes: Peter's powers are repeatedly connected to the idea that having power creates an obligation to help others.
213,comics,What is the next Spider-Verse movie listed after Across the Spider-Verse?,"The Numbers franchise listing currently places Spider-Man: Beyond the Spider-Verse on June 17, 2027, but this should be treated as a current listing rather than an immutable fact."
214,comics,Tell me about Harry Osborn.,Harry Osborn is Peter Parker's longtime friend and the son of Norman Osborn; his relationship with Peter becomes complicated by his father's identity as Green Goblin.
215,comics,What is Marvel's Spider-Man (2018) game?,Marvel's Spider-Man is an action-adventure game developed by Insomniac Games and published by Sony Interactive Entertainment.
216,comics,What are Spider-Man's web-shooters?,Peter Parker commonly uses web-shooters as technology for launching and manipulating web fluid.
217,comics,What makes Spider-Man so agile?,Spider-Man has enhanced agility and reflexes that support his acrobatic fighting and movement.
218,comics,Who are the creators of Spider-Man?,Spider-Man was created by writer Stan Lee and artist Steve Ditko. Marvel credits Lee as writer and Ditko as penciller on Amazing Fantasy #15.
219,comics,How much did No Way Home make worldwide?,Spider-Man: No Way Home earned about $1.921 billion worldwide according to The Numbers.
220,comics,Tell me about Electro.,"Electro is a Spider-Man villain associated with electrical powers and, in the comics, with Max Dillon."
221,comics,Tell me about in the cast of Spider-Man: Brand New Day.,"The announced cast includes Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal, Tramell Tillman, Michael Mando and Mark Ruffalo."
222,comics,Tell me about Mysterio.,"Mysterio is a master of illusion and deception, commonly associated with Quentin Beck."
223,comics,Give me a concise explanation of Across the Spider-Verse about.,Across the Spider-Verse follows Miles Morales as he encounters a larger network of Spider-People across the multiverse.
224,comics,What year did Electro first appear?,"Electro, associated with Max Dillon, first appeared in The Amazing Spider-Man #9 in 1964."
225,comics,Tell me about Aunt May.,Aunt May is Peter Parker's aunt and one of the central family figures in his life.
226,comics,Tell me about the main Spider-Man in Marvel's Spider-Man.,Marvel's Spider-Man presents an experienced Peter Parker as its main playable Spider-Man.
227,comics,Who is Vulture?,Vulture is a recurring Spider-Man villain associated with Adrian Toomes and advanced flight technology.
228,comics,How much did The Amazing Spider-Man 2 make worldwide?,The Amazing Spider-Man 2 (2014) earned about $709.7 million worldwide according to The Numbers.
229,comics,Who is the Lizard?,"The Lizard is commonly associated with Dr. Curt Connors, whose scientific work transforms him into a reptilian creature."
230,comics,Who is Kingpin?,"Kingpin, Wilson Fisk, is a major crime boss who has repeatedly conflicted with Spider-Man and other Marvel heroes."
231,comics,Why is Uncle Ben important to Spider-Man?,Uncle Ben is Peter Parker's uncle and a foundational influence on Peter's moral responsibility as Spider-Man.
232,comics,Tell me about Carnage.,"Carnage is a violent symbiote-linked antagonist, most commonly associated with Cletus Kasady."
233,comics,Who is Spider-Man's friendship with Human Torch like?,"Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals."
234,comics,Who played Spider-Man in The Amazing Spider-Man films?,Andrew Garfield played Peter Parker/Spider-Man in The Amazing Spider-Man films.
235,comics,Who is Sandman?,Sandman is a Spider-Man villain whose body can transform into sand and whose classic identity is Flint Marko.
236,comics,Who is Morbius?,"Morbius, Michael Morbius, is a scientifically created living vampire who has appeared as both an antagonist and an uneasy ally in Spider-Man-related stories."
237,comics,What year did the Lizard first appear?,"The Lizard, associated with Dr. Curt Connors, first appeared in The Amazing Spider-Man #6 in 1963."
238,comics,Who is Venom?,"Venom is a symbiote-based character whose relationship to Spider-Man varies between enemy, anti-hero, and uneasy ally depending on the story."
239,comics,How much did Far From Home make worldwide?,Spider-Man: Far From Home earned about $1.132 billion worldwide according to The Numbers.
240,comics,Tell me about J. Jonah Jameson.,J. Jonah Jameson is a longtime Spider-Man supporting character and a frequent critic of Spider-Man in many versions of the story.
241,comics,What is Spider-Man 3 about?,"Spider-Man 3 continues the Tobey Maguire series with Peter facing multiple threats including Sandman, Venom, and a new Green Goblin."
242,comics,How much did Into the Spider-Verse make worldwide?,Into the Spider-Verse earned about $373.8 million worldwide according to The Numbers.
243,comics,Does Spider-Man heal quickly?,"Spider-Man versions often have enhanced recovery, but the exact extent varies by continuity."
244,comics,Give me a concise explanation of Marvel's Spider-Man (2018) game.,Marvel's Spider-Man is an action-adventure game developed by Insomniac Games and published by Sony Interactive Entertainment.
245,comics,Why should movie financial figures be source-labeled?,Movie budgets and box-office totals should be labeled as source-reported figures because databases can differ in accounting methods and later reissues.
246,comics,Tell me about Black Cat.,"Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated."
247,comics,Is Peter Parker intelligent?,Peter Parker is frequently portrayed as a highly intelligent scientist and inventor.
248,comics,Tell me about Sandman.,Sandman is a Spider-Man villain whose body can transform into sand and whose classic identity is Flint Marko.
